accident_date,gender,age
1.42E+12,Male,19
1.42E+12,Female,19
1.42E+12,Male,38
1.42E+12,Male,45
1.45E+12,Female,32
1.42E+12,Male,31
1.50E+12,Male,23
1.43E+12,Male,33
1.48E+12,Female,81
1.42E+12,Male,35
1.42E+12,Female,67
1.42E+12,Male,63
1.50E+12,Female,25
1.42E+12,Female,26
1.42E+12,Male,25
1.42E+12,Male,24
1.42E+12,Male,65
1.42E+12,Male,36
1.42E+12,Male,36
1.41E+12,Male,91
1.39E+12,Male,49
1.41E+12,Male,19
1.41E+12,Male,25
1.41E+12,Female,60
1.43E+12,Male,25
1.41E+12,Male,51
1.41E+12,Male,36
1.42E+12,Male,74
1.51E+12,Male,22
1.43E+12,Male,47
1.42E+12,Male,5
1.41E+12,Female,63
1.41E+12,Female,6
1.39E+12,Female,11
1.39E+12,Male,50
1.42E+12,Female,25
1.41E+12,Male,20
1.46E+12,Male,40
1.42E+12,Female,28
1.42E+12,Male,21
1.48E+12,Female,45
1.44E+12,Female,40
1.42E+12,Male,65
1.43E+12,Male,26
1.42E+12,Female,81
1.42E+12,Male,70
1.55E+12,Male,33
1.52E+12,Male,92
1.42E+12,Male,30
1.42E+12,Male,49
1.42E+12,Female,88
1.42E+12,Male,46
1.42E+12,Female,23
1.42E+12,Male,35
1.43E+12,Male,94
1.53E+12,Male,57
1.43E+12,Male,17
1.44E+12,Female,69
1.43E+12,Female,88
1.52E+12,Female,19
1.43E+12,Female,64
1.43E+12,Male,19
1.43E+12,Female,34
1.43E+12,Male,16
1.41E+12,Female,50
1.43E+12,Male,52
1.47E+12,Male,71
1.55E+12,Female,70
1.55E+12,Female,5
1.46E+12,Male,47
1.43E+12,Female,27
1.43E+12,Male,23
1.48E+12,Male,26
1.43E+12,Female,52
1.54E+12,Male,17
1.43E+12,Male,59
1.55E+12,Male,28
1.43E+12,Male,61
1.43E+12,Male,20
1.43E+12,Male,65
1.43E+12,Male,23
1.41E+12,Male,50
1.43E+12,Male,28
1.43E+12,Male,47
1.46E+12,Male,29
1.50E+12,Male,27
1.43E+12,Female,27
1.43E+12,Female,44
1.43E+12,Male,77
1.43E+12,Male,54
1.55E+12,Male,65
1.42E+12,Male,42
1.42E+12,Male,40
1.39E+12,Female,23
1.55E+12,Male,56
1.42E+12,Male,43
1.42E+12,Male,29
1.40E+12,Male,25
1.43E+12,Male,27
1.43E+12,Male,47
1.42E+12,Male,86
1.51E+12,Male,18
1.42E+12,Male,41
1.42E+12,Male,31
1.42E+12,Male,22
1.53E+12,Female,31
1.42E+12,Male,22
1.54E+12,Male,36
1.43E+12,Male,78
1.44E+12,Male,42
1.55E+12,Female,52
1.43E+12,Female,29
1.43E+12,Male,40
1.43E+12,Male,49
1.43E+12,Male,55
1.48E+12,Female,79
1.47E+12,Female,28
1.46E+12,Female,22
1.44E+12,Male,2
1.43E+12,Male,38
1.44E+12,Female,16
1.43E+12,Female,42
1.43E+12,Female,71
1.43E+12,Male,72
1.46E+12,Female,74
1.46E+12,Male,82
1.41E+12,Male,21
1.43E+12,Female,19
1.44E+12,Male,17
1.44E+12,Female,16
1.44E+12,Female,17
1.44E+12,Male,18
1.50E+12,Male,47
1.51E+12,Male,48
1.44E+12,Male,46
1.44E+12,Male,65
1.47E+12,Male,46
1.39E+12,Female,56
1.44E+12,Male,51
1.44E+12,Male,74
1.44E+12,Male,20
1.52E+12,Male,37
1.44E+12,Male,28
1.49E+12,Male,21
1.46E+12,Male,81
1.54E+12,Male,25
1.46E+12,Male,18
1.43E+12,Male,18
1.48E+12,Male,66
1.43E+12,Female,91
1.50E+12,Male,49
1.44E+12,Male,58
1.44E+12,Female,64
1.40E+12,Female,67
1.43E+12,Male,73
1.51E+12,Male,18
1.43E+12,Male,9
1.53E+12,Male,83
1.43E+12,Male,31
1.42E+12,Female,50
1.45E+12,Female,48
1.45E+12,Female,61
1.43E+12,Male,75
1.43E+12,Female,18
1.43E+12,Male,19
1.42E+12,Female,73
1.48E+12,Female,38
1.43E+12,Male,17
1.43E+12,Male,44
1.43E+12,Female,68
1.43E+12,Male,73
1.44E+12,Male,44
1.44E+12,Male,67
1.50E+12,Female,87
1.40E+12,Male,21
1.53E+12,Male,50
1.44E+12,Male,70
1.51E+12,Male,23
1.47E+12,Male,32
1.43E+12,Female,77
1.47E+12,Male,25
1.44E+12,Male,30
1.47E+12,Female,24
1.44E+12,Male,39
1.44E+12,Female,87
1.51E+12,Male,85
1.47E+12,Male,51
1.51E+12,Female,49
1.44E+12,Male,31
1.44E+12,Male,43
1.44E+12,Male,45
1.48E+12,Male,21
1.49E+12,Male,24
1.44E+12,Male,80
1.45E+12,Male,18
1.44E+12,Female,53
1.44E+12,Female,26
1.54E+12,Male,33
1.45E+12,Male,19
1.45E+12,Male,25
1.52E+12,Female,68
1.48E+12,Female,53
1.45E+12,Male,50
1.45E+12,Female,92
1.41E+12,Male,89
1.50E+12,Male,52
1.45E+12,Male,50
1.45E+12,Female,19
1.50E+12,Male,56
1.53E+12,Male,80
1.45E+12,Male,38
1.50E+12,Male,29
1.45E+12,Male,52
1.47E+12,Female,0
1.43E+12,Male,67
1.45E+12,Male,61
1.56E+12,Male,38
1.55E+12,Male,43
1.45E+12,Male,26
1.49E+12,Male,25
