latitude,longitude,geometry,accident_date,gender,age,road_user_type,road_user_type_desc,accident_type,accident_type_desc,num_of_vehicles,lga_name,stat_div_name,node_type_desc,road_type,location_count
-37.91296374,145.2359906,Point,1550000000000,Female,17,3,Passengers,1,Collision with vehicle,2,KNOX,Melbourne - Outer East,Non Intersection,Freeway & State Highways,1
-37.31202617,144.5194462,Point,1550000000000,Male,60,7,Drivers,4,Collision with a fixed object,1,MACEDON RANGES,Bendigo,Non Intersection,Local Roads,1
-37.52370125,145.8023112,Point,1520000000000,Male,56,4,Motorcyclists,1,Collision with vehicle,2,MURRINDINDI,Country,Non Intersection,Tourist Roads,1
-36.21073,145.103621,Point,1450000000000,Male,18,3,Passengers,1,Collision with vehicle,2,CAMPASPE,Country,Non Intersection,Local Roads,1
-38.02823831,144.1745545,Point,1490000000000,Female,75,3,Passengers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,Intersection,Freeway & State Highways,2
-38.02823831,144.1745545,Point,1490000000000,Male,79,2,Drivers,1,Collision with vehicle,2,GOLDEN PLAINS,Country,Intersection,Freeway & State Highways,2
-38.345901,143.1636095,Point,1510000000000,Female,22,2,Drivers,1,Collision with vehicle,2,CORANGAMITE,Country,Non Intersection,Main Roads,1
-37.80189674,145.0229358,Point,1520000000000,Male,40,6,Bicyclists,4,Collision with a fixed object,1,BOROONDARA,Melbourne - Inner East,Non Intersection,Local Roads,1
-37.64194749,145.1388373,Point,1540000000000,Male,37,4,Motorcyclists,4,Collision with a fixed object,1,NILLUMBIK,Melbourne - North East,Non Intersection,Local Roads,1
-38.16328126,141.2890889,Point,1510000000000,Female,35,2,Drivers,1,Collision with vehicle,2,GLENELG,Country,Non Intersection,Main Roads,1
-37.96117797,145.3611396,Point,1550000000000,Female,89,2,Drivers,1,Collision with vehicle,3,YARRA RANGES,Melbourne - Outer East,Intersection,Main Roads,1
-37.91689988,145.246039,Point,1480000000000,Male,58,6,Bicyclists,7,Fall from or in moving vehicle,1,KNOX,Melbourne - Outer East,Non Intersection,Local Roads,1
-38.13906995,145.4886679,Point,1450000000000,Female,22,2,Drivers,1,Collision with vehicle,2,CARDINIA,Melbourne - South East,Non Intersection,Main Roads,1
-37.90344488,146.1026679,Point,1540000000000,Male,72,4,Motorcyclists,4,Collision with a fixed object,1,BAW BAW,Country,Non Intersection,Main Roads,1
-37.95400049,145.151944,Point,1510000000000,Male,82,1,Pedestrians,2,Struck Pedestrian,1,DANDENONG,Melbourne - South East,Non Intersection,Freeway & State Highways,1
-36.628502,146.8423968,Point,1530000000000,Female,60,2,Drivers,4,Collision with a fixed object,1,ALPINE,Country,Non Intersection,Tourist Roads,1
-37.56818046,144.8755038,Point,1520000000000,Male,25,1,Pedestrians,1,Collision with vehicle,3,HUME,Melbourne - North West,Non Intersection,Main Roads,1
-37.6878694,143.9658806,Point,1430000000000,Male,19,2,Drivers,1,Collision with vehicle,2,MOORABOOL,Ballarat,Non Intersection,Freeway & State Highways,1
-36.04186798,145.4318061,Point,1540000000000,Male,68,4,Motorcyclists,4,Collision with a fixed object,1,MOIRA,Country,Non Intersection,Freeway & State Highways,1
-34.21587377,142.043881,Point,1450000000000,Male,27,2,Drivers,1,Collision with vehicle,2,MILDURA,Country,Intersection,Freeway & State Highways,1
-38.14667009,145.24572,Point,1540000000000,Male,21,1,Pedestrians,2,Struck Pedestrian,1,CASEY,Melbourne - South East,Non Intersection,Local Roads,1
-37.80748059,145.0288829,Point,1540000000000,Female,69,1,Pedestrians,2,Struck Pedestrian,1,BOROONDARA,Melbourne - Inner East,Intersection,Main Roads,1
-38.36746327,141.5700734,Point,1550000000000,Male,44,2,Drivers,4,Collision with a fixed object,1,GLENELG,Country,Intersection,Local Roads,1
